,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts
0,"לא""י",65.0,0.0,0.0,0.0,65.0
1,"והקב""ה",6.0,0.0,0.0,0.0,6.0
2,"ה""א",41.0,0.0,0.0,0.0,41.0
3,"תקנ""ח",11.0,0.0,0.0,0.0,11.0
4,"יסו""ד",6.0,0.0,0.0,0.0,6.0
5,"כ""כ",47.0,0.0,0.0,0.0,47.0
6,"אהו""י",17.0,0.0,0.0,0.0,17.0
7,"מנצפ""ך",7.0,0.0,0.0,0.0,7.0
8,"השי""ן",10.0,0.0,0.0,0.0,10.0
9,"ל""ליגת",6.0,0.0,0.0,0.0,6.0
10,"לאו""ם",119.0,29.0,0.0,0.0,148.0
11,"איפא""ק",7.0,3.0,0.0,0.0,10.0
12,"דע""ת",11.0,0.0,0.0,0.0,11.0
13,"גח""ל",104.0,0.0,0.0,0.0,104.0
14,"לכ""ט",7.0,0.0,0.0,0.0,7.0
15,"הקרפ""ר",6.0,0.0,0.0,0.0,6.0
16,"הגח""ל",18.0,0.0,0.0,0.0,18.0
17,"ה""אל",9.0,1.0,0.0,0.0,10.0
18,"למג""ב",9.0,5.0,0.0,0.0,14.0
19,"בימ""מ",11.0,0.0,0.0,0.0,11.0
20,"צה""ליות",5.0,1.0,0.0,0.0,6.0
21,"הראב""ן",11.0,0.0,0.0,0.0,11.0
22,"הימ""מ",217.0,1.0,3.0,0.0,221.0
23,"הימ""ס",12.0,0.0,0.0,0.0,12.0
24,"והימ""ס",6.0,0.0,0.0,0.0,6.0
25,"הרמטכ""לים",8.0,2.0,0.0,0.0,10.0
26,"הראבי""ה",6.0,0.0,0.0,0.0,6.0
27,"מזל""טים",14.0,0.0,0.0,0.0,14.0
28,"במטכ""ל",57.0,5.0,0.0,0.0,62.0
29,"תשמ""א",148.0,0.0,0.0,0.0,148.0
30,"תשל""ה",99.0,0.0,0.0,0.0,99.0
31,"תשל""ט",124.0,0.0,0.0,0.0,124.0
32,"ל""רוח",6.0,2.0,0.0,0.0,8.0
33,"פת""ח",140.0,158.0,3.0,0.0,301.0
34,"תשל""ח",148.0,0.0,0.0,0.0,148.0
35,"כ""כפר",10.0,0.0,0.0,0.0,10.0
36,"יע""ל",11.0,0.0,0.0,0.0,11.0
37,"קג""ם",10.0,0.0,0.0,0.0,10.0
38,"תשפ""ג",112.0,0.0,0.0,0.0,112.0
39,"היחצ""א",7.0,0.0,0.0,0.0,7.0
40,"הבא""ח",8.0,0.0,0.0,0.0,8.0
41,"וסה""כ",5.0,1.0,0.0,0.0,6.0
42,"שבג""ץ",14.0,1.0,0.0,0.0,15.0
43,"לוט""ר",29.0,0.0,0.0,0.0,29.0
44,"ל""מים",7.0,0.0,0.0,0.0,7.0
45,"ו""יום",10.0,0.0,0.0,0.0,10.0
46,"ל""מלחמה",7.0,2.0,0.0,0.0,9.0
47,"בכ""ג",31.0,0.0,0.0,0.0,31.0
48,"חו""ל",49.0,8.0,0.0,0.0,57.0
49,"ב""תקופת",11.0,2.0,0.0,0.0,13.0
50,"הריטב""א",17.0,0.0,0.0,0.0,17.0
51,"ב""מהפכה",6.0,1.0,0.0,0.0,7.0
52,"ש""הוא",15.0,1.0,0.0,0.0,16.0
53,"כ""לא",34.0,1.0,0.0,0.0,35.0
54,"ריב""ז",11.0,0.0,0.0,0.0,11.0
55,"רמב""ע",23.0,0.0,0.0,0.0,23.0
56,"ורמב""ם",6.0,0.0,0.0,0.0,6.0
57,"תק""א",6.0,0.0,0.0,0.0,6.0
58,"ל""שער",8.0,0.0,0.0,0.0,8.0
59,"י""ד",205.0,0.0,0.0,0.0,205.0
60,"והשל""ה",7.0,0.0,0.0,0.0,7.0
61,"ר""ח",7.0,0.0,0.0,0.0,7.0
62,"ל""קרן",6.0,0.0,0.0,0.0,6.0
63,"להט""בית",13.0,0.0,0.0,0.0,13.0
64,"כ""חברה",6.0,0.0,0.0,0.0,6.0
65,"והנדל""ן",7.0,0.0,0.0,0.0,7.0
66,"בתמ""ג",32.0,3.0,0.0,0.0,35.0
67,"ש""ה",13.0,0.0,0.0,0.0,13.0
68,"ו""בעל",6.0,0.0,0.0,0.0,6.0
69,"כ""א",184.0,1.0,0.0,0.0,185.0
70,"ל""מפלגה",8.0,0.0,0.0,0.0,8.0
71,"למלש""בים",7.0,0.0,0.0,0.0,7.0
72,"המל""ל",3.0,24.0,0.0,0.0,27.0
73,"והראי""ה",6.0,0.0,0.0,0.0,6.0
74,"לאופ""א",12.0,0.0,0.0,0.0,12.0
75,"תקכ""א",6.0,0.0,0.0,0.0,6.0
76,"תקל""ד",6.0,0.0,0.0,0.0,6.0
77,"תקמ""ט",6.0,0.0,0.0,0.0,6.0
78,"פיפ""א",230.0,2.0,0.0,0.0,232.0
79,"ש""צ",12.0,0.0,0.0,0.0,12.0
80,"תקט""ו",7.0,0.0,0.0,0.0,7.0
81,"תקע""ד",7.0,0.0,0.0,0.0,7.0
82,"נגמ""ש",119.0,1.0,0.0,0.0,120.0
83,"המתנ""ס",36.0,0.0,0.0,0.0,36.0
84,"הרמ""א",139.0,0.0,0.0,0.0,139.0
85,"מזקו""ם",29.0,0.0,0.0,0.0,29.0
86,"תל""י",33.0,0.0,0.0,0.0,33.0
87,"רש""ל",10.0,0.0,0.0,0.0,10.0
88,"בחי""ר",19.0,1.0,0.0,0.0,20.0
89,"המזקו""ם",21.0,0.0,0.0,0.0,21.0
90,"יש""י",8.0,0.0,0.0,0.0,8.0
91,"ונגמ""שי",6.0,0.0,0.0,0.0,6.0
92,"התשמ""ד",7.0,0.0,0.0,0.0,7.0
93,"רק""מ",27.0,1.0,0.0,0.0,28.0
94,"כ""בירת",6.0,1.0,0.0,0.0,7.0
95,"הגר""א",311.0,0.0,0.0,0.0,311.0
96,"ב""ז",32.0,0.0,0.0,0.0,32.0
97,"ח""ש",15.0,0.0,0.0,0.0,15.0
98,"תע""ש",52.0,0.0,0.0,0.0,52.0
99,"מד""צים",7.0,0.0,0.0,0.0,7.0
100,"מצ""ח",15.0,1.0,0.0,0.0,16.0
101,"צי""ד",16.0,1.0,0.0,0.0,17.0
102,"נגמ""שי",37.0,1.0,0.0,0.0,38.0
103,"הנמ""ר",49.0,1.0,0.0,0.0,50.0
104,"י""ב",293.0,4.0,0.0,0.0,297.0
105,"החפ""ק",7.0,0.0,0.0,0.0,7.0
106,"הצה""לית",27.0,5.0,0.0,0.0,32.0
107,"ב""אקול",10.0,0.0,0.0,0.0,10.0
108,"קכ""ו",7.0,0.0,0.0,0.0,7.0
109,"בי""ס",55.0,0.0,0.0,0.0,55.0
110,"בי""ז",34.0,0.0,0.0,0.0,34.0
111,"ב""גן",11.0,0.0,0.0,0.0,11.0
112,"חט""ב",8.0,0.0,0.0,0.0,8.0
113,"ול""ג",8.0,0.0,0.0,0.0,8.0
114,"ב""מדריך",11.0,0.0,0.0,0.0,11.0
115,"ב""פלסטין",2.0,4.0,0.0,0.0,6.0
116,"הש""צ",10.0,0.0,0.0,0.0,10.0
117,"ה""אתה",9.0,0.0,0.0,0.0,9.0
118,"לאר""י",6.0,0.0,0.0,0.0,6.0
119,"רנ""ג",12.0,0.0,0.0,0.0,12.0
120,"תרפ""א",121.0,0.0,0.0,0.0,121.0
121,"הי""ז",7.0,0.0,0.0,0.0,7.0
122,"מל""ל",36.0,2.0,0.0,0.0,38.0
