acronym,total_counts
"לא""י",65.0
"והקב""ה",6.0
"ה""א",41.0
"תקנ""ח",11.0
"יסו""ד",6.0
"כ""כ",47.0
"אהו""י",17.0
"מנצפ""ך",7.0
"השי""ן",10.0
"ל""ליגת",6.0
"לאו""ם",148.0
"איפא""ק",10.0
"דע""ת",11.0
"גח""ל",104.0
"לכ""ט",7.0
"הקרפ""ר",6.0
"הגח""ל",18.0
"ה""אל",10.0
"למג""ב",14.0
"בימ""מ",11.0
"צה""ליות",6.0
"הראב""ן",11.0
"הימ""מ",221.0
"הימ""ס",12.0
"והימ""ס",6.0
"הרמטכ""לים",10.0
"הראבי""ה",6.0
"מזל""טים",14.0
"במטכ""ל",62.0
"תשמ""א",148.0
"תשל""ה",99.0
"תשל""ט",124.0
"ל""רוח",8.0
"פת""ח",301.0
"תשל""ח",148.0
"כ""כפר",10.0
"יע""ל",11.0
"קג""ם",10.0
"תשפ""ג",112.0
"היחצ""א",7.0
"הבא""ח",8.0
"וסה""כ",6.0
"שבג""ץ",15.0
"לוט""ר",29.0
"ל""מים",7.0
"ו""יום",10.0
"ל""מלחמה",9.0
"בכ""ג",31.0
"חו""ל",57.0
"ב""תקופת",13.0
"הריטב""א",17.0
"ב""מהפכה",7.0
"ש""הוא",16.0
"כ""לא",35.0
"ריב""ז",11.0
"רמב""ע",23.0
"ורמב""ם",6.0
"תק""א",6.0
"ל""שער",8.0
"י""ד",205.0
"והשל""ה",7.0
"ר""ח",7.0
"ל""קרן",6.0
"להט""בית",13.0
"כ""חברה",6.0
"והנדל""ן",7.0
"בתמ""ג",35.0
"ש""ה",13.0
"ו""בעל",6.0
"כ""א",185.0
"ל""מפלגה",8.0
"למלש""בים",7.0
"המל""ל",27.0
"והראי""ה",6.0
"לאופ""א",12.0
"תקכ""א",6.0
"תקל""ד",6.0
"תקמ""ט",6.0
"פיפ""א",232.0
"ש""צ",12.0
"תקט""ו",7.0
"תקע""ד",7.0
"נגמ""ש",120.0
"המתנ""ס",36.0
"הרמ""א",139.0
"מזקו""ם",29.0
"תל""י",33.0
"רש""ל",10.0
"בחי""ר",20.0
"המזקו""ם",21.0
"יש""י",8.0
"ונגמ""שי",6.0
"התשמ""ד",7.0
"רק""מ",28.0
"כ""בירת",7.0
"הגר""א",311.0
"ב""ז",32.0
"ח""ש",15.0
"תע""ש",52.0
"מד""צים",7.0
"מצ""ח",16.0
"צי""ד",17.0
"נגמ""שי",38.0
"הנמ""ר",50.0
"י""ב",297.0
"החפ""ק",7.0
"הצה""לית",32.0
"ב""אקול",10.0
"קכ""ו",7.0
"בי""ס",55.0
"בי""ז",34.0
"ב""גן",11.0
"חט""ב",8.0
"ול""ג",8.0
"ב""מדריך",11.0
"ב""פלסטין",6.0
"הש""צ",10.0
"ה""אתה",9.0
"לאר""י",6.0
"רנ""ג",12.0
"תרפ""א",121.0
"הי""ז",7.0
"מל""ל",38.0
"בכ""ז",25.0
