,acronym,meaning_wiktionary,meaning_pdf,meaning_any
0,"צה""ל",TODO,"['צבא ההגנה לישראל ]הקפידו להוסיף את ה""א הידיעה, ואל תקצרו בנקודות: צ.ה.ל']",True
1,BDA,TODO,,True
2,BOQ,TODO,,True
3,IAI,TODO,,True
4,"א""א",TODO,"['אוויר־אווי ר]יש ההוגים: אלף־אלף; 7-1 אל תקצרו בנקודות: א.א. ; ראו גם ;]A/A', 'אינפרה־אדום ]המונח התקני: תת־אדום; גם אינ""א', 'אור אחרון;', 'אגד ארטילרי ]ראו גם ;]DIVARTY', 'אבטחת איכות ]המונח התקני: ה""א – הבטחת איכות', 'אמל""ח אויב;']",True
5,"א""ג",TODO,"['אימון גופני; ]ראו גם ]PT', 'אבן גבול;', 'איכות גבולית;', 'אוויוניקה גנרית']",True
6,"א""מ",TODO,"['אג""ם־מבצעים ;', 'אורך מוקד ;', 'אבטחת מידע;', 'אלקטרומגנטי;', 'איש מילואים;', 'אלחוט מורס; 31']",True
7,"א""ק",TODO,"['אוויר־קרקע ]אל תקצרו בלוכסן: א/ק; 2-1 הגו: אלף־קוף; ראו גם ;]A/G', 'אות קריאה ;', ""'אלומת קש';"", 'אנשי קבע;', 'ארגון קבצים']",True
8,"א""ש",TODO,"['אימוני שדה;', 'אתר שליטה']",True
9,א',TODO,"['אחראי ל־ ;', ' אירי;', 'אדון;', 'אירוע טיפול באוכלוסייה ] 5-4 בסימנים מוסכמים – בלי גרש', 'אלינט ]ראו גם ;]ELINT', 'אימון']",True
10,"אא""ע",TODO,['אחראי איכות ענפי'],True
11,"אב""ט",TODO,['אב־טיפוס '],True
12,"אב""ך",TODO,"['אטומי, ביולוגי, כימי ]התיבה \'אטומי\' הוחלפה ב\'גרעיני\', אך ראשי התיבות נשארו אב""ך ראו גם ]NBC']",True
13,"אב""ם",TODO,"['אבטחת מבצעים;', 'אגף הארגון, הבקרה והמנהל;', 'אזור ביטחון מיוחד;', 'אבטחת מידע ;', 'אירוע בלתי־מוסכמי']",True
14,"אב""צ",TODO,"['אביזר צמוד;', 'אבטחת ציבור;', 'אקדמיה בזמן צבא;', ""'אבן צור'""]",True
15,"אבד""ש",TODO,['אביזרי דיבור ושמע'],True
16,"אבו""ן",TODO,['אגף הבינוי והנכסים '],True
17,"אבח""ץ",TODO,['אבטחה וחילוץ'],True
18,"אבח""ר",TODO,['אירוע ביולוגי חריג'],True
19,"אבט""ם",TODO,['האגף הביטחוני־מדיני'],True
20,"אבט""ש",TODO,"['אבטחה שוטפת;', 'אבטחת יישובים']",True
21,"אבס""ר",TODO,['אבטחה וסיור'],True
22,"אבש""ר",TODO,['אבקת שרפה'],True
23,"אג""א",TODO,['אגף האפסנאות  25'],True
24,"אג""ם",TODO,"['אגף המטה הכללי;', 'אגף המטה;', 'אג""ם־מבצעים ]אל תקצרו בלוכסן: א/מ; ראו: א""מ', 'אגף המבצעים ']",True
25,"אג""מ",TODO,,True
26,"אג""ס",TODO,"['אזור גאוגרפי־סטטיסטי;', 'איתור, גילוי, סימון']",True
27,"אג""ת",TODO,"['אגף התכנון ובניין הכוח הרב־זרועי;', 'אגף התכנון ;', 'אגף התכנון והארגון ']",True
28,"אגו""ז",TODO,"['איכון, גילוי וזיהוי;', ""אנליסט גאו ויזואלי ]'אנליסט' בעברית: מנתח; 'גאו' הוא קיצור של גאוגרפי ויזואלי' בעברית: חזותי""]",True
29,"אגמ""ק",TODO,"[""אלונקה, ג'ריקן, מכשיר קשר ]'ג'ריקן' בעברית: קיבולית""]",True
30,"אגמ""ר",TODO,['אוגדה מרחבית '],True
31,"אגנ""ם",TODO,['אגד נגד־מטוסים'],True
32,"אד""ל",TODO,['אזור דרום לבנון'],True
33,"אה""ד",TODO,"['ארגון הדרכה ;', 'אגף ההדרכה ']",True
34,"אהו""ב",TODO,['אגף ההנדסה והבינוי 26'],True
35,"או""ק",TODO,"['אישות וקבורה;', 'אות קריאה']",True
36,"או""ת",TODO,"['ארגון ותכנון;', 'אוגר תמונה;', 'ארגון ותקציבים;', 'ארגון ותקינה;', 'ארגון ותורה אז', 'אוזנית ;', 'אזימוט ;', 'אזרח או אזרחי;', 'אזור או אזורי ]ראו גם ]Z']",True
37,"אוגמ""ר",TODO,['אוגדה מרחבית'],True
38,"אוה""ד",TODO,"['ארגון והדרכה ;', 'אימונים והדרכה;', 'איתור והשמדה']",True
39,"אז""מ",TODO,,True
40,"אזח""ע",TODO,['אזור חבל עזה '],True
41,"אח""י",TODO,"['אוניית חיל הים ;', 'אחסנה יבשה ;', 'אלף חביות ביום']",True
42,"אחמ""ס",TODO,['אחראי לחומר מסווג'],True
43,"אט""ל",TODO,['אגף הטכנולוגיה והלוגיסטיקה  אטמ אטמוספרה'],True
44,"אט""מ",TODO,,True
45,"אימון דו""ץ",TODO,,True
46,"אכ""א",TODO,"['אגף כוח־האדם ;', 'אצטיל־כולין אסטראז 30']",True
47,"אל""ח",TODO,"['האגודה למען החייל;', 'אמצעי לחימת חי""ר']",True
48,"אל""ל",TODO,['אימון לפני לחימה'],True
49,"אל""ם",TODO,['אלוף־משנה ]ראו גם ]COL'],True
50,"אלמ""ר",TODO,['אגד לוגיסטי מרחבי אלפ אלפית'],True
51,"אלפ""א",TODO,['אמצעי לנשיאת פגזים ארטילריים '],True
52,"אלפ""ה",TODO,"['אינטגרציה לפיתוח הדרכה ] 2-1 הגו: אלפ""ה; אינטגרציה\' בעברית: תכלול', 'אמצעים לפיזור הפגנות']",True
53,"אלר""ם",TODO,"['אגף הלוגיסטיקה, הרפואה והמרכזים ']",True
54,"אמ""ט",TODO,"['אזור מוגן־טילים;', 'אזור מוכה־טילים']",True
55,"אמ""ל",TODO,['אין מה להודיע  אל תקצרו בנקודות: א.מ.ל'],True
56,"אמ""ם",TODO,"['אלחוט־מורס מגוון;', 'אולפן מחקר מודיעין;', 'אלגוריתמים ומחקר;', 'אומנות המערכה;', 'האגף לאמצעים מיוחדים ']",True
57,"אמ""ן",TODO,['אגף המודיעין'],True
58,"אמ""ץ",TODO,"['אגף המבצעים;', 'אזור מוכה-ציפורים']",True
59,"אמל""ח",TODO,['אמצעי לחימה'],True
60,"אנא""נ",TODO,['אין נזק ואין נפגעים ]הגו: אלף־נון־אלף־נון; אל תקצרו בנקודות: א.נ.א.נ'],True
61,"אנו""ח",TODO,['איסוף נתונים וחללים'],True
62,"אס""ם",TODO,"['איכון וסימון של מטרות;', 'איסוף מודיעין;', 'אתר סילוק מקומי  34']",True
63,"אס""ק",TODO,"['איסוף קרבי;', 'אווירת סוף קורס;', 'אי־ספיקה']",True
64,"אסו""ם",TODO,"['אימון, סדר ומשמעת']",True
65,"אע""צ",TODO,"['אזרח עובד צה""ל ]ראו: ע""ץ; המונח הנכון: עובד צה""ל; אל תקצרו בנקודות: א.ע.צ', 'ארגון עובדי צה""ל אפ', 'אפסנאות ]ראו גם ;]SUP', 'אפסנאי']",True
66,"ארמו""ן",TODO,,True
67,"אתג""ר בצצ""ת ערפ""ד מקרט""ע בא""ר",TODO,,True
68,"ב""ח",TODO,"['בסיס חיפה;', 'בסיס חיל הים']",True
69,"בא""ח",TODO,['בסיס אימונים חטיבתי'],True
70,"באלי""ש",TODO,"['בסיס האימונים ליחידות השדה הגו: באלי""ש; ראו: מל""י']",True
71,"בד""ח",TODO,"['בקרה ודיווח;', 'בדיקות חיוניות']",True
72,"בדה""ת",TODO,['בדיקת היתכנות '],True
73,"בה""ד",TODO,['בסיס הדרכה '],True
74,"בהל""ץ",TODO,['בית הספר להנדסה צבאית'],True
75,"בזנ""ט",TODO,['ברזל זווית נגד־טנקים'],True
76,"בזנ""ת",TODO,['ברזל זוויתי נושא תילים'],True
77,"בח""א",TODO,"['בסיס חיל האוויר ]הגו: בח""א ; ראו גם ]AFB']",True
78,"בח""ג",TODO,['בחזקת חוגר'],True
79,"בח""ק",TODO,['בחזקת קצין בט בטרייה ]יש ההוגים: בית־טית; מוטב: סוללה'],True
80,"בט""פ",TODO,['ביטחון פנים'],True
81,"בט""ר",TODO,['בסיס טירונים'],True
82,"בט""ש",TODO,['ביטחון שוטף 40'],True
83,"ביח""ש",TODO,"['בית חולים שדה;', 'בית חולים לשבויים ']",True
84,"ביסה""ת",TODO,['בית הספר להנדסאי תעופה'],True
85,"ביסל""א",TODO,"['בית הספר הצבאי למקצועות העזר והאחזקה 3-1 הגו: ביסל""א', 'בית הספר להגנה אווירית;', 'בית הספר לאלקטרוניקה']",True
86,"ביסל""ח",TODO,['בית הספר לחיל הרגלים'],True
87,"ביסל""ט",TODO,['בית הספר למקצועות הטכניים'],True
88,"ביסל""ק",TODO,"['בית הספר לקצינים ]של זרוע האוויר והחלל; יש ההוגים: ביסל""ק', 'בית הספר לאיסוף קרבי ']",True
89,"ביסל""ש",TODO,['בית הספר לשריון'],True
90,"ביסל""ת",TODO,['בית הספר לתותחנות השדה'],True
91,"ביסלמ""ח",TODO,"['בית הספר למפקדי כיתות ולמקצועות החי""ר גם ביסלמ""כ']",True
