base_acronym,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts,n_united
"א""א","['א""א']",32.0,1.0,0.0,0.0,33.0,1
"א""ב","['א""ב', 'הא""ב']",61.0,0.0,0.0,0.0,61.0,2
"א""ד","['א""ד']",59.0,0.0,0.0,0.0,59.0,1
"א""ז","['א""ז']",9.0,0.0,0.0,0.0,9.0,1
"א""ח","['א""ח', 'בא""ח']",20.0,0.0,0.0,0.0,20.0,2
"א""י","['א""י', 'מא""י', 'בא""י', 'לא""י']",322.0,0.0,0.0,0.0,322.0,4
"א""מ","['א""מ']",7.0,0.0,0.0,0.0,7.0,1
"א""נ","['א""נ']",8.0,0.0,0.0,0.0,8.0,1
"א""ס","['א""ס']",8.0,0.0,0.0,0.0,8.0,1
"א""ע","['א""ע']",11.0,0.0,0.0,0.0,11.0,1
"א""ר","['א""ר']",5.0,0.0,0.0,0.0,5.0,1
"א""ש","['א""ש']",6.0,0.0,0.0,0.0,6.0,1
"אא""ג","['אא""ג']",6.0,0.0,0.0,0.0,6.0,1
"אא""ט","['אא""ט']",4.0,0.0,0.0,0.0,4.0,1
"אאל""ט","['אאל""ט']",13.0,0.0,0.0,0.0,13.0,1
"אב""א","['ואב""א', 'אב""א']",48.0,0.0,0.0,0.0,48.0,2
"אב""ד","['אב""ד', 'ואב""ד', 'כאב""ד']",91.0,0.0,0.0,0.0,91.0,3
"אב""י","['אב""י']",93.0,0.0,0.0,0.0,93.0,1
"אב""ך","['אב""ך', 'האב""ך']",8.0,0.0,0.0,0.0,8.0,2
"אב""כ","['האב""כ', 'אב""כ']",61.0,2.0,0.0,0.0,63.0,2
"אבד""ק","['אבד""ק']",8.0,0.0,0.0,0.0,8.0,1
"אבי""ע","['אבי""ע']",6.0,0.0,0.0,0.0,6.0,1
"אביב""י","['אביב""י']",12.0,0.0,0.0,0.0,12.0,1
"אג""א","['אג""א']",5.0,0.0,0.0,0.0,5.0,1
"אג""ח","['באג""ח', 'לאג""ח', 'האג""ח', 'אג""ח']",93.0,2.0,0.0,0.0,95.0,4
"אג""ם","['אג""ם', 'האג""ם']",87.0,2.0,0.0,0.0,89.0,2
"אג""מ","['אג""מ']",8.0,1.0,0.0,0.0,9.0,1
"אג""ת","['אג""ת']",6.0,8.0,0.0,0.0,14.0,1
"אגו""י","['אגו""י']",4.0,0.0,0.0,0.0,4.0,1
"אד""ו","['אד""ו']",10.0,0.0,0.0,0.0,10.0,1
"אד""ל","['אד""ל']",7.0,0.0,0.0,0.0,7.0,1
"אד""ם","['אד""ם']",16.0,0.0,0.0,0.0,16.0,1
"אדמו""ר","['ואדמו""ר', 'כאדמו""ר', 'והאדמו""ר', 'לאדמו""ר', 'האדמו""ר', 'אדמו""ר']",894.0,0.0,0.0,0.0,894.0,6
"אדמו""רות","['באדמו""רות', 'האדמו""רות']",33.0,0.0,0.0,0.0,33.0,2
"אדמו""רי","['מהאדמו""רים', 'אדמו""רי', 'לאדמו""רי', 'מאדמו""רי']",95.0,0.0,0.0,0.0,95.0,4
"אדמו""רים","['ואדמו""רים', 'לאדמו""רים', 'האדמו""רים', 'כאדמו""רים', 'אדמו""רים']",126.0,0.0,0.0,0.0,126.0,5
"אדמור""י","['אדמור""י']",12.0,0.0,0.0,0.0,12.0,1
"אדמורי""ם","['האדמורי""ם']",4.0,0.0,0.0,0.0,4.0,1
"אדר""ת","['האדר""ת']",23.0,0.0,0.0,0.0,23.0,1
"אה""ו","['אה""ו']",13.0,0.0,0.0,0.0,13.0,1
"אה""מ","['אה""מ', 'ואה""מ']",139.0,0.0,0.0,0.0,139.0,2
"אה""ק","['אה""ק']",5.0,0.0,0.0,0.0,5.0,1
"אהו""י","['אהו""י']",17.0,0.0,0.0,0.0,17.0,1
"או""ח","['או""ח']",5.0,0.0,0.0,0.0,5.0,1
"או""ם","['באו""ם', 'או""ם', 'ובאו""ם', 'והאו""ם', 'האו""ם', 'שהאו""ם', 'לאו""ם']",2014.0,648.0,3.0,0.0,2665.0,7
"או""מ","['האו""מ']",1.0,5.0,0.0,0.0,6.0,1
"אוגמ""ר","['אוגמ""ר']",4.0,0.0,0.0,0.0,4.0,1
"אומ""ץ","['אומ""ץ']",12.0,0.0,0.0,0.0,12.0,1
"אונדו""פ","['אונדו""פ']",0.0,4.0,0.0,0.0,4.0,1
"אונס""קו","['אונס""קו']",4.0,0.0,0.0,0.0,4.0,1
"אונסק""ו","['מאונסק""ו', 'אונסק""ו', 'לאונסק""ו']",333.0,8.0,0.0,0.0,341.0,3
"אונסקו""פ","['אונסקו""פ']",37.0,0.0,0.0,0.0,37.0,1
"אונר""א","['אונר""א', 'לאונר""א', 'באונר""א']",123.0,58.0,0.0,0.0,181.0,3
